"";"CODGEO";"Q218";"PPSOC18";"TP6018";"clust_ens"
"1";"13010";22990;3,9;11;"2"
"2";"13018";19880;5,7;17;"1"
"3";"13027";19260;6,5;18;"1"
"4";"13034";22220;NA;NA;"2"
"5";"13036";22090;4,2;14;"2"
"6";"13045";21640;5,1;13;"2"
"7";"13052";22180;4,1;11;"2"
"8";"13064";22880;3,4;10;"2"
"9";"13066";21610;4,4;13;"2"
"10";"13076";21350;5,4;14;"2"
"11";"13083";22770;4,2;10;"2"
"12";"13089";19650;5,6;16;"1"
"13";"13116";21410;NA;NA;"2"
"14";"30011";24940;3,4;10;"3"
"15";"30351";27730;2,8;10;"3"
"16";"84001";22900;4;9;"2"
"17";"84004";20520;5,3;15;"2"
"18";"84007";14750;12,8;32;"1"
"19";"84012";21240;4,5;16;"2"
"20";"84013";21630;NA;NA;"2"
"21";"84016";21030;4,8;12;"2"
"22";"84025";23650;NA;NA;"2"
"23";"84027";21880;4,4;12;"2"
"24";"84030";20320;4,7;13;"1"
"25";"84031";16070;10,2;29;"1"
"26";"84034";23330;4,1;12;"2"
"27";"84035";16430;8,9;27;"1"
"28";"84036";25880;3;NA;"3"
"29";"84038";23760;3,2;9;"2"
"30";"84039";19950;5,7;15;"1"
"31";"84043";21120;4,9;12;"2"
"32";"84050";24480;NA;NA;"3"
"33";"84051";21530;NA;NA;"2"
"34";"84054";21080;5,1;16;"2"
"35";"84055";26580;NA;NA;"3"
"36";"84056";20030;5,5;13;"1"
"37";"84062";23700;NA;NA;"2"
"38";"84067";23300;3,4;12;"2"
"39";"84071";23450;NA;NA;"2"
"40";"84072";21920;4,3;15;"2"
"41";"84073";22460;NA;NA;"2"
"42";"84077";21990;NA;NA;"2"
"43";"84080";19230;6,5;18;"1"
"44";"84081";22560;4,7;11;"2"
"45";"84086";21540;NA;NA;"2"
"46";"84087";18120;8,4;23;"1"
"47";"84088";22840;3,8;12;"2"
"48";"84092";17730;9,4;23;"1"
"49";"84099";22010;4,1;11;"2"
"50";"84108";23140;NA;NA;"2"
"51";"84114";21770;NA;NA;"2"
"52";"84119";24070;3,9;9;"3"
"53";"84122";20140;5,3;16;"1"
"54";"84124";26160;NA;NA;"3"
"55";"84129";18210;8,7;22;"1"
"56";"84131";24020;NA;NA;"3"
"57";"84132";21970;4,4;13;"2"
"58";"84139";18880;NA;NA;"1"
"59";"84141";21570;5,7;12;"2"
"60";"84142";22880;3,6;12;"2"
